PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
379,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar Pty Ltd,100,144.9653899,-37.81176167
380,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Container Bar,100,144.9653899,-37.81176167
381,231-233 Exhibition Street,Melbourne (CBD),Sen Karaoke Bar,120,144.9695206,-37.81051104
382,244-250 Queen Street,Melbourne (CBD),Shamiana,200,144.959964,-37.81269018
383,242-244 Little Bourke Street,Melbourne (CBD),Shanghai Club,209,144.965603,-37.81213633
384,419-429 Collins Street,Melbourne (CBD),Silk Road on Collins,911,144.9606531,-37.81752882
385,22 Drewery Place,Melbourne (CBD),Sister Bellas,80,144.9638158,-37.81135
386,270 Russell Street,Melbourne (CBD),So'bar,90,144.9671591,-37.81011116
387,4 Riverside Quay,Southbank,Soho Restaurant & Bar,200,144.9633758,-37.82092509
388,590-592 Little Bourke Street,Melbourne (CBD),Sorry Grandma,700,144.9546987,-37.81533836
389,443 Little Collins Street,Melbourne (CBD),Sou Sol,200,144.9600859,-37.81638558
390,14-20 King Street,Melbourne (CBD),Spearmint Rhino Gentlemen's Club,660,144.9577148,-37.81977635
391,121-131 Collins Street,Melbourne (CBD),Spice Market,600,144.9698467,-37.81516811
392,39-43 Bourke Street,Melbourne (CBD),Spleen Central,100,144.9720472,-37.81193572
393, Brunton Avenue,East Melbourne,Spotless Services,2545,144.9832828,-37.81992883
394,184-186 Bourke Street,Melbourne (CBD),Stars KTV and Lounge,204,144.9676888,-37.81267583
395,471-485 Collins Street,Melbourne (CBD),State of Grace,200,144.9585484,-37.8184145
396,502-504 Elizabeth Street,Melbourne (CBD),Stork Hotel,180,144.9603498,-37.80719768
397,133 Queens Bridge Street,Southbank,Story,120,144.9605087,-37.8252468
398,69-73 Collins Street,Melbourne (CBD),Strange Wolf ,210,144.9713489,-37.8143446
399,183-265 La Trobe Street,Melbourne (CBD),Strike,760,144.9630189,-37.81073331
400,221 Little Lonsdale Street,Melbourne (CBD),Strike Bowling,370,144.9657034,-37.810658
401,183-265 La Trobe Street,Melbourne (CBD),Strike Melbourne Central,760,144.9630189,-37.81073331
402,8 Whiteman Street,Southbank,Studio 3 ,900,144.9586604,-37.82312164
403,163-169 Russell Street,Melbourne (CBD),Syn Bar,350,144.9676479,-37.81246709
404,315-321 Elizabeth Street,Melbourne (CBD),Tabaret At Melbourne Central,250,144.9614724,-37.81124935
405,187 Flinders Lane,Melbourne (CBD),The Adelphi Hotel,80,144.9683751,-37.81635789
406,401-405 Little Bourke Street,Melbourne (CBD),The Apartment Restaurant Club Lounge,250,144.9610348,-37.81403196
407,614-616 Elizabeth Street,Carlton,The Arthouse,250,144.9589387,-37.80389369
408,8 Whiteman Street,Southbank,The Atlantic,508,144.9586604,-37.82312164
409,8 Whiteman Street,Southbank,The Atlantic/The Den /The Champagne & Oyster Bar ,508,144.9586604,-37.82312164
410,8 Whiteman Street,Southbank,The Atlantic/The Den /The Oyster Bar & Grill,508,144.9586604,-37.82312164
411,98-110 William Street,Melbourne (CBD),The Australian Club,280,144.9591218,-37.81674542
412,65-73 Haig Street,Southbank,The Backlot Studios ,80,144.95658,-37.82791506
413,422-428 Little Collins Street,Melbourne (CBD),The Balcony ,200,144.960326,-37.8159076
414,66-70 Spencer Street,Melbourne (CBD),The Batman's Hill Hotel,1500,144.9546555,-37.81934371
415,415-421 Rathdowne Street,Carlton,The Beaufort,50,144.9704262,-37.79652005
416,2 Swanston Street,Melbourne (CBD),The big Group,350,144.9699175,-37.81784465
417,7-11 Queen Street,Melbourne (CBD),The Bliss Lounge,210,144.9619461,-37.81861863
418,430-442 Collins Street,Melbourne (CBD),The Brasilian Bean,80,144.9597623,-37.81703239
419,256 Collins Street,Melbourne (CBD),The Butterfly Club,190,144.9652914,-37.81552514
420,193-199 Bourke Street,Melbourne (CBD),The Carlton Hotel,200,144.9676452,-37.81320485
